source,target,relationship
She Doesn't Mind - DJ Laszlo Radio Edit,Rap / Hiphop,track_genre
Gettin' over You - Aviccii's Vocal Mix at Night,House / Electronic,track_genre
Rockabye,House / Electronic,track_genre
Another Love - Tiësto Remix,R&B,track_genre
AEIOU,Rap / Hiphop,track_genre
Family,House / Electronic,track_genre
Jackie Chan - Keanu Silva Remix,House / Electronic,track_genre
Go Down Deh (feat. Shaggy and Sean Paul),Rap / Hiphop,track_genre
I Got A Feeling,World,track_genre
Die For You,Pop,track_genre
Scared To Be Lonely - Brooks Remix,House / Electronic,track_genre
Give It Up to Me,Rap / Hiphop,track_genre
Say My Name,House / Electronic,track_genre
You Right,House / Electronic,track_genre
Sweat - Remix,R&B,track_genre
Cold Heart - PNAU Remix,Rock,track_genre
Tears In The Club (feat. The Weeknd),Rap / Hiphop,track_genre
BOOM,House / Electronic,track_genre
Your Turn,R&B,track_genre
I'm Still in Love with You (feat. Sasha),Rap / Hiphop,track_genre
Levitating,House / Electronic,track_genre
Lose You,House / Electronic,track_genre
All We Got (feat. KIDDO) - Joel Corry Remix,House / Electronic,track_genre
God Is A Dancer (with Mabel),House / Electronic,track_genre
Quality,House / Electronic,track_genre
Don't Start Now,House / Electronic,track_genre
Blinding Lights,Pop,track_genre
Cheap Thrills (feat. Sean Paul),House / Electronic,track_genre
Contra La Pared - GTA Remix,Rap / Hiphop,track_genre
Love U Better,Rap / Hiphop,track_genre
OK,World,track_genre
Beautiful,House / Electronic,track_genre
Babylon (feat. Denzel Curry) - Skrillex & Ronny J Remix,House / Electronic,track_genre
One Kiss (with Dua Lipa) - Valentino Khan Remix,House / Electronic,track_genre
Something New,Rap / Hiphop,track_genre
Your Turn,Rap / Hiphop,track_genre
I’ll Take You High,House / Electronic,track_genre
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],R&B,track_genre
Physical - Erika de Casier Remix,House / Electronic,track_genre
Play Hard (feat. Ne-Yo & Akon),House / Electronic,track_genre
IDGAF,Pop,track_genre
Where We Started,Folk,track_genre
God Is A Dancer,House / Electronic,track_genre
Ghost,House / Electronic,track_genre
God is A DJ,Rap / Hiphop,track_genre
Cold Heart - Acoustic,Acoustic,track_genre
Speechless (feat. Erika Sirola),House / Electronic,track_genre
Chained To The Rhythm,House / Electronic,track_genre
Sun Will Shine,House / Electronic,track_genre
Un Día (One Day),World,track_genre
No Lie,Rap / Hiphop,track_genre
UN DIA (ONE DAY),Rap / Hiphop,track_genre
By Yourself,R&B,track_genre
UN DIA (ONE DAY) (Feat. Tainy),World,track_genre
Know No Better,House / Electronic,track_genre
2U (feat. Justin Bieber),House / Electronic,track_genre
Bun Up the Dance,House / Electronic,track_genre
Seavolution (From Hotel Transylvania 3),House / Electronic,track_genre
Physical,House / Electronic,track_genre
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),House / Electronic,track_genre
Harleys In Hawaii,Pop,track_genre
Sexy Bitch (feat. Akon),House / Electronic,track_genre
Levitating,Pop,track_genre
Temperature,Rap / Hiphop,track_genre
Hawái - Remix,World,track_genre
tears in the club,Alternative,track_genre
God is A DJ,House / Electronic,track_genre
I'm Good (Blue) - REAPER Extended Remix,House / Electronic,track_genre
Agarra Mi Mano,Rap / Hiphop,track_genre
Sugar,World,track_genre
New Love - Paraone Remix,House / Electronic,track_genre
Lovers on the Sun (feat. Sam Martin),House / Electronic,track_genre
Red Lips (feat. Sam Bruno) - Skrillex Remix,House / Electronic,track_genre
Don't Be Shy,House / Electronic,track_genre
Hey DJ - Remix,Rap / Hiphop,track_genre
I Kissed A Girl,House / Electronic,track_genre
Vibe Like This (feat. Ty Dolla $ign & Lucky Daye),R&B,track_genre
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",R&B,track_genre
tears in the club (feat. the weeknd),Rap / Hiphop,track_genre
UN DIA (ONE DAY) (Feat. Tainy),R&B,track_genre
The Business - SWACQ Remix,House / Electronic,track_genre
Calling On Me (feat. Tove Lo),Rap / Hiphop,track_genre
Party Time,House / Electronic,track_genre
Split (Only U),House / Electronic,track_genre
Moth To A Flame (with The Weeknd) - Extended Mix,House / Electronic,track_genre
Rockabye,R&B,track_genre
So Me Stay,Rap / Hiphop,track_genre
New Rules,House / Electronic,track_genre
I Feel It Coming,Pop,track_genre
Dancing In The Moonlight (feat. NEIMY) - Tiësto Remix,World,track_genre
Floating Through Space,House / Electronic,track_genre
In My Room (feat. Ty Dolla $ign & Tyga),House / Electronic,track_genre
Harleys In Hawaii,House / Electronic,track_genre
The Business - 220 KID Remix,House / Electronic,track_genre
Complicated (feat. Kiiara),House / Electronic,track_genre
Make It Bun Dem,House / Electronic,track_genre
In Your Arms (For An Angel),World,track_genre
Lost in the Fire (feat. The Weeknd),House / Electronic,track_genre
Secrets,House / Electronic,track_genre
Family Affair (Dance for Me),Pop,track_genre
Temperature,House / Electronic,track_genre
Dumpling - Remix,Rap / Hiphop,track_genre
Mad Love,Rap / Hiphop,track_genre
Dynamite (feat. Sia & Miss Lafamilia) [Banx N Ranx Remix],Rap / Hiphop,track_genre
Crazy What Love Can Do,Pop,track_genre
Family,Pop,track_genre
Headlights (feat. Ilsey),House / Electronic,track_genre
Rockabye (feat. Sean Paul & Anne-Marie),House / Electronic,track_genre
Moth To A Flame (with The Weeknd),House / Electronic,track_genre
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,House / Electronic,track_genre
Gettin' over You - Aviccii's Vocal Mix at Night,Pop,track_genre
Cozy Little Christmas,House / Electronic,track_genre
Vibe Like This,Indie,track_genre
Willst du - Radio Mix,House / Electronic,track_genre
Physical - Erika de Casier Remix,Pop,track_genre
Go Down Deh (feat. Shaggy and Sean Paul),House / Electronic,track_genre
Love Is Gone - Tiësto Remix,House / Electronic,track_genre
OK,House / Electronic,track_genre
Drive - Edit,House / Electronic,track_genre
Dangerous,Pop,track_genre
Electric - Pokemon 25 Version,House / Electronic,track_genre
Dangerous (feat. Sam Martin),House / Electronic,track_genre
Sugar (feat. Francesco Yates),World,track_genre
Ego Death,Rap / Hiphop,track_genre
"The Island, Pt. 1 (Dawn) - Skrillex Remix",House / Electronic,track_genre
Dynamite (feat. Sia),Rap / Hiphop,track_genre
Havana (feat. Young Thug),House / Electronic,track_genre
365,House / Electronic,track_genre
On Repeat,World,track_genre
So Good (feat. Ty Dolla $ign),World,track_genre
Alone for Christmas,House / Electronic,track_genre
365 - Zedd Remix,House / Electronic,track_genre
Heartbreak Anthem (with David Guetta & Little Mix),House / Electronic,track_genre
Universe,House / Electronic,track_genre
Hey Ma (with J Balvin & Pitbull feat. Camila Cabello),World,track_genre
Play Hard (feat. Ne-Yo & Akon) - New Edit,House / Electronic,track_genre
Hey Ma (with J Balvin & Pitbull feat. Camila Cabello),Rap / Hiphop,track_genre
Lifetime (with Ty Dolla $ign & 070 Shake),House / Electronic,track_genre
Where Them Girls At (feat. Nicki Minaj & Flo Rida),House / Electronic,track_genre
E.T.,House / Electronic,track_genre
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],House / Electronic,track_genre
Satisfaction,House / Electronic,track_genre
All We Got (feat. KIDDO) - Ofenbach Remix,House / Electronic,track_genre
Over Now (with The Weeknd),House / Electronic,track_genre
Gimme the Light,Rap / Hiphop,track_genre
UN DIA (ONE DAY) (Feat. Tainy),Rap / Hiphop,track_genre
Homesick,Pop,track_genre
Bad Things,Rap / Hiphop,track_genre
Save Your Tears,Pop,track_genre
She Doesn't Mind - Gregori Klosman Remix,Rap / Hiphop,track_genre
Dynamite,House / Electronic,track_genre
G.O.A.T. (feat. Ty Dolla $ign & Bella Alubo),Rock,track_genre
Paranoid,R&B,track_genre
Kiss and Make Up,House / Electronic,track_genre
Harder (feat. Talay Riley),House / Electronic,track_genre
The Motto,House / Electronic,track_genre
Break My Heart,House / Electronic,track_genre
Your Turn,House / Electronic,track_genre
Midas Touch (2022 Remastered),Rap / Hiphop,track_genre
Weed Problems,House / Electronic,track_genre
International - Skrillex Remix,House / Electronic,track_genre
Scared to Be Lonely,House / Electronic,track_genre
Can't Believe (feat. Ty Dolla $ign & WizKid),Rap / Hiphop,track_genre
Freedom,Pop,track_genre
One Kiss (with Dua Lipa),Pop,track_genre
Wasted,House / Electronic,track_genre
After Hours,Pop,track_genre
BED,House / Electronic,track_genre
By Yourself,Rap / Hiphop,track_genre
Got 2 Luv U (feat. Alexis Jordan),Rap / Hiphop,track_genre
Dark Horse,House / Electronic,track_genre
Baby Boy (feat. Beyoncé ),Rap / Hiphop,track_genre
Carry You Home (feat. StarGate & Aloe Blacc),House / Electronic,track_genre
Last Friday Night (T.G.I.F.),House / Electronic,track_genre
Sunshine,Pop,track_genre
New Love - Paraone Remix,Pop,track_genre
Like Glue,Rap / Hiphop,track_genre
Electricity (with Dua Lipa),House / Electronic,track_genre
Take My Breath - Single Version,Pop,track_genre
Dangerous - David Guetta Banging Remix,House / Electronic,track_genre
Bad Love,Rap / Hiphop,track_genre
Famous,Rap / Hiphop,track_genre
In Da Getto,Rap / Hiphop,track_genre
I'm Still In Love With You,Rap / Hiphop,track_genre
One Kiss (with Dua Lipa),House / Electronic,track_genre
High (& Dua Lipa),Indie,track_genre
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Pop,track_genre
Crazy What Love Can Do,House / Electronic,track_genre
UN DIA (ONE DAY),World,track_genre
Jackie Chan,House / Electronic,track_genre
Prayer in C - Robin Schulz Radio Edit,Indie,track_genre
Ravin',House / Electronic,track_genre
Dangerous - David Guetta Banging Remix,Pop,track_genre
Pepas - David Guetta Remix - Radio Edit,Rap / Hiphop,track_genre
Rockstar Baby (feat. Mougleta),World,track_genre
Southern Sun - DJ Tiësto Remix,House / Electronic,track_genre
Señorita,House / Electronic,track_genre
Universe,R&B,track_genre
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",R&B,track_genre
Pepas - David Guetta Remix,Rap / Hiphop,track_genre
Chemicals (feat. Thomas Troelsen),House / Electronic,track_genre
Family Affair (Dance for Me),House / Electronic,track_genre
WOW,House / Electronic,track_genre
Out of Time,Pop,track_genre
Prayer in C - Robin Schulz Radio Edit,World,track_genre
Levitating (feat. DaBaby),House / Electronic,track_genre
Mind Dimension - Tiësto Remix,House / Electronic,track_genre
Cinderella,Rap / Hiphop,track_genre
The Only Way Is Up,House / Electronic,track_genre
All We Got (feat. KIDDO),World,track_genre
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Rap / Hiphop,track_genre
The Motto - Tiësto’s VIP Mix,House / Electronic,track_genre
Instagram - Bassjackers Remix,House / Electronic,track_genre
Domino - David Guetta Remix,House / Electronic,track_genre
Ego Death,House / Electronic,track_genre
Bangarang (feat. Sirah),House / Electronic,track_genre
Tip Pon It,Rap / Hiphop,track_genre
Or Nah - Remix,Rap / Hiphop,track_genre
UN DIA (ONE DAY),R&B,track_genre
I'm Good (Blue) - Extended,House / Electronic,track_genre
Sugar,House / Electronic,track_genre
UP,House / Electronic,track_genre
Break the Rules - Tiësto Remix,House / Electronic,track_genre
Ritual - Benny Benassi & BB Team Remix,House / Electronic,track_genre
"Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie)",House / Electronic,track_genre
Purple Lamborghini (with Rick Ross),House / Electronic,track_genre
New Rules - Acoustic,Pop,track_genre
Light My Fire (feat. Gwen Stefani & Shenseea),Rap / Hiphop,track_genre
Vibe Like This,R&B,track_genre
Sunshine,House / Electronic,track_genre
I'm Good (Blue) - REAPER Remix,House / Electronic,track_genre
Havana (feat. Young Thug),Pop,track_genre
We Be Burnin',Rap / Hiphop,track_genre
Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,Folk,track_genre
She Doesn't Mind - Gregori Klosman Remix,House / Electronic,track_genre
Un Día (One Day),Rap / Hiphop,track_genre
In Your Eyes (feat. Alida) - LUM!X Remix,House / Electronic,track_genre
When It Comes To You,Rap / Hiphop,track_genre
Un Día (One Day),R&B,track_genre
Mi Persona Favorita,Rock,track_genre
Supersonic (VIP),House / Electronic,track_genre
Alane,House / Electronic,track_genre
Let Me Love You - Sean Paul Remix,House / Electronic,track_genre
Alone for Christmas,R&B,track_genre
"Party Tun Up Remix (feat. Sean Paul, Fatman Scoop)",Rap / Hiphop,track_genre
How We Do It (feat. Pia Mia),Rap / Hiphop,track_genre
Remember,House / Electronic,track_genre
Moth To A Flame (feat. The Weeknd) - Adriatique Remix,House / Electronic,track_genre
Or Nah - Remix,House / Electronic,track_genre
Hot In It,House / Electronic,track_genre
Other Side of Love,Rap / Hiphop,track_genre
Spicy,House / Electronic,track_genre
In Da Getto,R&B,track_genre
One Kiss,House / Electronic,track_genre
Another Life,House / Electronic,track_genre
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,World,track_genre
Beautiful (feat. Camila Cabello),House / Electronic,track_genre
Or Nah - Remix,R&B,track_genre
Pepas - David Guetta Remix,World,track_genre
Wave Rider (From Hotel Transylvania 3),House / Electronic,track_genre
Hot In It - Tiësto’s Hotter Mix,House / Electronic,track_genre
Fuego,House / Electronic,track_genre
Promises (with Sam Smith) - David Guetta Remix,House / Electronic,track_genre
High (& Dua Lipa),House / Electronic,track_genre
Potion (with Dua Lipa & Young Thug),House / Electronic,track_genre
Señorita,Pop,track_genre
Freedom,House / Electronic,track_genre
Pepas - David Guetta Remix - Radio Edit,World,track_genre
She Doesn't Mind - Pitbull Remix,Rap / Hiphop,track_genre
Pepas - Tiësto Remix,Rap / Hiphop,track_genre
Secrets - Radio Edit,House / Electronic,track_genre
"Fuego (with Sean Paul & Anitta, feat. Tainy)",House / Electronic,track_genre
Odd Look,Alternative,track_genre
Love U Better,R&B,track_genre
Instagram - R3HAB Remix,House / Electronic,track_genre
Instagram,House / Electronic,track_genre
If You Really Love Me (How Will I Know),Pop,track_genre
Don’t Go (with Justin Bieber & Don Toliver),House / Electronic,track_genre
I Got A Feeling,House / Electronic,track_genre
Love Me Harder,House / Electronic,track_genre
Mi Persona Favorita,World,track_genre
Con Calma - Remix,R&B,track_genre
In Da Getto,World,track_genre
Body,Rap / Hiphop,track_genre
Where Are Ü Now (with Justin Bieber),House / Electronic,track_genre
Somewhere Over the Rainbow / What a Wonderful World,House / Electronic,track_genre
How Deep Is Your Love (feat. Kelly Rowland),Rap / Hiphop,track_genre
Physical,Pop,track_genre
When I'm Gone,House / Electronic,track_genre
I Won,R&B,track_genre
Jump On It,Rap / Hiphop,track_genre
Love Is Gone - Tiësto Remix,R&B,track_genre
Young Right Now,World,track_genre
Imagine - Tiësto Remix,Pop,track_genre
Let Me Love You - Tiësto's AFTR:HRS Mix,House / Electronic,track_genre
Weed Problems,Rap / Hiphop,track_genre
Mind (feat. Kai),House / Electronic,track_genre
Hey Ma (with J Balvin & Pitbull feat. Camila Cabello),R&B,track_genre
Shot Me Down (feat. Skylar Grey) - Radio Edit,House / Electronic,track_genre
You Right,Pop,track_genre
Hey Mama,House / Electronic,track_genre
I'm Good (Blue),Pop,track_genre
No Lie - Sam Feldt Remix,Rap / Hiphop,track_genre
Sugar (feat. Francesco Yates),House / Electronic,track_genre
All The Way Up (Remix),Rock,track_genre
Hey DJ - Remix,R&B,track_genre
Get Busy,Rap / Hiphop,track_genre
Hawái - Remix,R&B,track_genre
Midas Touch (2022 Remastered),House / Electronic,track_genre
Silence - Tiësto's Big Room Remix,House / Electronic,track_genre
Spicy (feat. Post Malone),R&B,track_genre
Ritual,House / Electronic,track_genre
In Your Eyes,House / Electronic,track_genre
Who You Love (feat. Katy Perry),Indie,track_genre
"The Business, Pt. II",House / Electronic,track_genre
365,World,track_genre
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",House / Electronic,track_genre
Love Tonight - David Guetta Remix Edit,House / Electronic,track_genre
Heatwave (feat. Akon),House / Electronic,track_genre
"Moth To A Flame (with The Weeknd, Moojo) - Moojo Remix",House / Electronic,track_genre
Swalla (feat. Nicki Minaj & Ty Dolla $ign),House / Electronic,track_genre
Pineapple,Rap / Hiphop,track_genre
HUMBLE. - SKRILLEX REMIX,House / Electronic,track_genre
Boasty (feat. Idris Elba),Rap / Hiphop,track_genre
Last Hurrah - David Guetta Remix,House / Electronic,track_genre
Sahara,House / Electronic,track_genre
Call Out My Name,Pop,track_genre
AEIOU,World,track_genre
BLUE,House / Electronic,track_genre
Enola Gay - Dancefloor Killa Remix Edit,Pop,track_genre
Hot in It,House / Electronic,track_genre
Calling On Me,Rap / Hiphop,track_genre
No Lie,Pop,track_genre
Almost Like Praying (feat. Artists for Puerto Rico),Pop,track_genre
I Was Never There,Pop,track_genre
Con Calma - Remix,Rap / Hiphop,track_genre
Pepas - Tiësto Remix,R&B,track_genre
Nothing Really Matters,House / Electronic,track_genre
Pepas - Tiësto Remix,World,track_genre
L'amour toujours (feat. Delaney Jane) - Tiësto Edit,House / Electronic,track_genre
Heatwave (feat. Akon),World,track_genre
So Far Away (feat. Jamie Scott & Romy Dya),House / Electronic,track_genre
Odd Look,House / Electronic,track_genre
Spicy,Rap / Hiphop,track_genre
Sun Will Shine - James Carter Remix,House / Electronic,track_genre
Con Calma - Remix,World,track_genre
Dangerous Love,Rap / Hiphop,track_genre
By Yourself,House / Electronic,track_genre
Waves - Robin Schulz Radio Edit,House / Electronic,track_genre
Firework,House / Electronic,track_genre
In Your Eyes (feat. Alida),World,track_genre
Savage,House / Electronic,track_genre
Element,House / Electronic,track_genre
Drive,House / Electronic,track_genre
It's Ours,House / Electronic,track_genre
Break It Off (feat. Rihanna),Rap / Hiphop,track_genre
Dangerous,House / Electronic,track_genre
STARSTRUKK (feat. Katy Perry),Rock,track_genre
Oohla Oohla,House / Electronic,track_genre
Titanium (feat. Sia),House / Electronic,track_genre
The First Note Is Silent (feat. Tiësto & Underworld) - Instrumental,House / Electronic,track_genre
Sun Will Shine - James Carter Remix,World,track_genre
In Your Eyes,World,track_genre
What Would You Do?,House / Electronic,track_genre
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - DJ LBR Remix",House / Electronic,track_genre
Bam Bam (feat. Ed Sheeran),House / Electronic,track_genre
Hawái - Remix,Rap / Hiphop,track_genre
Bad Man - Skrillex Remix,Rap / Hiphop,track_genre
Make It (feat. The Weeknd) [DJAmg Remixer],R&B,track_genre
Alone for Christmas,Rap / Hiphop,track_genre
Bailando - English Version,World,track_genre
Naked Truth,Rap / Hiphop,track_genre
Crick Neck,Rap / Hiphop,track_genre
Oh Child,House / Electronic,track_genre
Without You (feat. Usher),House / Electronic,track_genre
When I’m Gone (with Katy Perry),House / Electronic,track_genre
Cold Heart - PS1 Remix,Acoustic,track_genre
Written In Reverse,House / Electronic,track_genre
Rockstar Baby (feat. Mougleta),House / Electronic,track_genre
Moth To A Flame,House / Electronic,track_genre
Tek Weh Yuh Heart,Rap / Hiphop,track_genre
Shot & Wine,Rap / Hiphop,track_genre
WARLORDZ (feat. Skrillex),House / Electronic,track_genre
God is A DJ - Extended,Rap / Hiphop,track_genre
Selfish Love (with Selena Gomez) - Tiësto Remix,House / Electronic,track_genre
The Motto - Robin Schulz Remix,House / Electronic,track_genre
Baila Conmigo,House / Electronic,track_genre
Universe,Rap / Hiphop,track_genre
One Kiss (with Dua Lipa) - Oliver Heldens Remix,House / Electronic,track_genre
Rockabye (feat. Sean Paul & Anne-Marie),R&B,track_genre
New Rules - Acoustic,House / Electronic,track_genre
Earthquake,Rap / Hiphop,track_genre
The One That Got Away,House / Electronic,track_genre
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",House / Electronic,track_genre
